zip,fips,county,STATE
05363,50025,Windham County,VT
05356,50025,Windham County,VT
05156,50025,Windham County,VT
05353,50025,Windham County,VT
05141,50025,Windham County,VT
05345,50025,Windham County,VT
05146,50025,Windham County,VT
05346,50025,Windham County,VT
05342,50025,Windham County,VT
05158,50025,Windham County,VT
05351,50025,Windham County,VT
05344,50025,Windham County,VT
05355,50025,Windham County,VT
05357,50025,Windham County,VT
05159,50025,Windham County,VT
05143,50025,Windham County,VT
05148,50025,Windham County,VT
05101,50025,Windham County,VT
05358,50025,Windham County,VT
05155,50025,Windham County,VT
05301,50025,Windham County,VT
05354,50025,Windham County,VT
05361,50025,Windham County,VT
05154,50025,Windham County,VT
05359,50025,Windham County,VT
05343,50025,Windham County,VT
05360,50025,Windham County,VT
05201,50025,Windham County,VT
05035,50027,Windsor County,VT
05001,50027,Windsor County,VT
05161,50027,Windsor County,VT
05067,50027,Windsor County,VT
05047,50027,Windsor County,VT
05030,50027,Windsor County,VT
05762,50027,Windsor County,VT
05055,50027,Windsor County,VT
05068,50027,Windsor County,VT
05150,50027,Windsor County,VT
05053,50027,Windsor County,VT
05772,50027,Windsor County,VT
05088,50027,Windsor County,VT
05070,50027,Windsor County,VT
05149,50027,Windsor County,VT
05767,50027,Windsor County,VT
05073,50027,Windsor County,VT
05746,50027,Windsor County,VT
05758,50027,Windsor County,VT
05009,50027,Windsor County,VT
05049,50027,Windsor County,VT
05034,50027,Windsor County,VT
05056,50027,Windsor County,VT
05151,50027,Windsor County,VT
05091,50027,Windsor County,VT
05031,50027,Windsor County,VT
05089,50027,Windsor County,VT
05062,50027,Windsor County,VT
05048,50027,Windsor County,VT
05060,50027,Windsor County,VT
05153,50027,Windsor County,VT
05037,50027,Windsor County,VT
05071,50027,Windsor County,VT
05084,50027,Windsor County,VT
05052,50027,Windsor County,VT
05059,50027,Windsor County,VT
05061,50027,Windsor County,VT
05032,50027,Windsor County,VT
05156,50027,Windsor County,VT
05143,50027,Windsor County,VT
05065,50027,Windsor County,VT
05142,50027,Windsor County,VT
23303,51001,Accomack County,VA
23410,51001,Accomack County,VA
23417,51001,Accomack County,VA
23418,51001,Accomack County,VA
23395,51001,Accomack County,VA
23401,51001,Accomack County,VA
23341,51001,Accomack County,VA
23301,51001,Accomack County,VA
23415,51001,Accomack County,VA
23414,51001,Accomack County,VA
23441,51001,Accomack County,VA
23420,51001,Accomack County,VA
23356,51001,Accomack County,VA
23426,51001,Accomack County,VA
23427,51001,Accomack County,VA
23302,51001,Accomack County,VA
23488,51001,Accomack County,VA
23389,51001,Accomack County,VA
23422,51001,Accomack County,VA
23480,51001,Accomack County,VA
23423,51001,Accomack County,VA
23442,51001,Accomack County,VA
23404,51001,Accomack County,VA
23407,51001,Accomack County,VA
23440,51001,Accomack County,VA
23308,51001,Accomack County,VA
23336,51001,Accomack County,VA
23421,51001,Accomack County,VA
23359,51001,Accomack County,VA
23306,51001,Accomack County,VA
23357,51001,Accomack County,VA
23409,51001,Accomack County,VA
23337,51001,Accomack County,VA
23416,51001,Accomack County,VA
23358,51001,Accomack County,VA
23350,51001,Accomack County,VA
22974,51003,Albemarle County,VA
22938,51003,Albemarle County,VA
22924,51003,Albemarle County,VA
22947,51003,Albemarle County,VA
22901,51003,Albemarle County,VA
22903,51003,Albemarle County,VA
22969,51003,Albemarle County,VA
22959,51003,Albemarle County,VA
24562,51003,Albemarle County,VA
22911,51003,Albemarle County,VA
22946,51003,Albemarle County,VA
22935,51003,Albemarle County,VA
22940,51003,Albemarle County,VA
22968,51003,Albemarle County,VA
22932,51003,Albemarle County,VA
22936,51003,Albemarle County,VA
22923,51003,Albemarle County,VA
22937,51003,Albemarle County,VA
22942,51003,Albemarle County,VA
24590,51003,Albemarle County,VA
22920,51003,Albemarle County,VA
22909,51003,Albemarle County,VA
22987,51003,Albemarle County,VA
22931,51003,Albemarle County,VA
22902,51003,Albemarle County,VA
22904,51003,Albemarle County,VA
22943,51003,Albemarle County,VA
22945,51003,Albemarle County,VA
22908,51003,Albemarle County,VA
24422,51005,Alleghany County,VA
24426,51005,Alleghany County,VA
24474,51005,Alleghany County,VA
24445,51005,Alleghany County,VA
24448,51005,Alleghany County,VA
24457,51005,Alleghany County,VA
24127,51005,Alleghany County,VA
23105,51007,Amelia County,VA
23833,51007,Amelia County,VA
23002,51007,Amelia County,VA
23083,51007,Amelia County,VA
23966,51007,Amelia County,VA
23850,51007,Amelia County,VA
24533,51009,Amherst County,VA
24521,51009,Amherst County,VA
22922,51009,Amherst County,VA
24483,51009,Amherst County,VA
24526,51009,Amherst County,VA
24572,51009,Amherst County,VA
24595,51009,Amherst County,VA
22967,51009,Amherst County,VA
22976,51009,Amherst County,VA
24574,51009,Amherst County,VA
24553,51009,Amherst County,VA
24504,51011,Appomattox County,VA
23958,51011,Appomattox County,VA
24522,51011,Appomattox County,VA
23960,51011,Appomattox County,VA
24538,51011,Appomattox County,VA
24593,51011,Appomattox County,VA
24553,51011,Appomattox County,VA
23963,51011,Appomattox County,VA
23939,51011,Appomattox County,VA
22209,51013,Arlington County,VA
22241,51013,Arlington County,VA
22240,51013,Arlington County,VA
22230,51013,Arlington County,VA
20330,51013,Arlington County,VA
20406,51013,Arlington County,VA
20598,51013,Arlington County,VA
22202,51013,Arlington County,VA
22211,51013,Arlington County,VA
22244,51013,Arlington County,VA
22226,51013,Arlington County,VA
22207,51013,Arlington County,VA
22215,51013,Arlington County,VA
22101,51013,Arlington County,VA
22046,51013,Arlington County,VA
22242,51013,Arlington County,VA
22245,51013,Arlington County,VA
20301,51013,Arlington County,VA
22204,51013,Arlington County,VA
22213,51013,Arlington County,VA
22217,51013,Arlington County,VA
22206,51013,Arlington County,VA
22216,51013,Arlington County,VA
22210,51013,Arlington County,VA
20310,51013,Arlington County,VA
22212,51013,Arlington County,VA
22227,51013,Arlington County,VA
22201,51013,Arlington County,VA
22205,51013,Arlington County,VA
22219,51013,Arlington County,VA
22225,51013,Arlington County,VA
20350,51013,Arlington County,VA
22203,51013,Arlington County,VA
22214,51013,Arlington County,VA
22243,51013,Arlington County,VA
22952,51015,Augusta County,VA
22841,51015,Augusta County,VA
22812,51015,Augusta County,VA
24439,51015,Augusta County,VA
22939,51015,Augusta County,VA
22920,51015,Augusta County,VA
24441,51015,Augusta County,VA
24472,51015,Augusta County,VA
22843,51015,Augusta County,VA
24421,51015,Augusta County,VA
24440,51015,Augusta County,VA
24485,51015,Augusta County,VA
24437,51015,Augusta County,VA
24431,51015,Augusta County,VA
24411,51015,Augusta County,VA
24430,51015,Augusta County,VA
24467,51015,Augusta County,VA
22980,51015,Augusta County,VA
24459,51015,Augusta County,VA
22967,51015,Augusta County,VA
24469,51015,Augusta County,VA
24483,51015,Augusta County,VA
24477,51015,Augusta County,VA
24401,51015,Augusta County,VA
24476,51015,Augusta County,VA
24463,51015,Augusta County,VA
24486,51015,Augusta County,VA
24479,51015,Augusta County,VA
24482,51015,Augusta County,VA
24432,51015,Augusta County,VA
24460,51017,Bath County,VA
24412,51017,Bath County,VA
24432,51017,Bath County,VA
24487,51017,Bath County,VA
24484,51017,Bath County,VA
24445,51017,Bath County,VA
24422,51017,Bath County,VA
24095,51019,Bedford County,VA
24104,51019,Bedford County,VA
24101,51019,Bedford County,VA
24139,51019,Bedford County,VA
24501,51019,Bedford County,VA
24064,51019,Bedford County,VA
24550,51019,Bedford County,VA
24570,51019,Bedford County,VA
24502,51019,Bedford County,VA
24121,51019,Bedford County,VA
24503,51019,Bedford County,VA
24551,51019,Bedford County,VA
24523,51019,Bedford County,VA
24122,51019,Bedford County,VA
24179,51019,Bedford County,VA
24174,51019,Bedford County,VA
24556,51019,Bedford County,VA
24571,51019,Bedford County,VA
24526,51019,Bedford County,VA
24536,51019,Bedford County,VA
24124,51021,Bland County,VA
24314,51021,Bland County,VA
24315,51021,Bland County,VA
24318,51021,Bland County,VA
24084,51021,Bland County,VA
24134,51021,Bland County,VA
24366,51021,Bland County,VA
24155,51023,Botetourt County,VA
24130,51023,Botetourt County,VA
24066,51023,Botetourt County,VA
24090,51023,Botetourt County,VA
24077,51023,Botetourt County,VA
24175,51023,Botetourt County,VA
24422,51023,Botetourt County,VA
24019,51023,Botetourt County,VA
24083,51023,Botetourt County,VA
24438,51023,Botetourt County,VA
24579,51023,Botetourt County,VA
24085,51023,Botetourt County,VA
24450,51023,Botetourt County,VA
24012,51023,Botetourt County,VA
24064,51023,Botetourt County,VA
23919,51025,Brunswick County,VA
23873,51025,Brunswick County,VA
23821,51025,Brunswick County,VA
23856,51025,Brunswick County,VA
23845,51025,Brunswick County,VA
23868,51025,Brunswick County,VA
23824,51025,Brunswick County,VA
23876,51025,Brunswick County,VA
23889,51025,Brunswick County,VA
23920,51025,Brunswick County,VA
23847,51025,Brunswick County,VA
23938,51025,Brunswick County,VA
23843,51025,Brunswick County,VA
23857,51025,Brunswick County,VA
23893,51025,Brunswick County,VA
23950,51025,Brunswick County,VA
23887,51025,Brunswick County,VA
24603,51027,Buchanan County,VA
24239,51027,Buchanan County,VA
24628,51027,Buchanan County,VA
24631,51027,Buchanan County,VA
24657,51027,Buchanan County,VA
24260,51027,Buchanan County,VA
24656,51027,Buchanan County,VA
24634,51027,Buchanan County,VA
24646,51027,Buchanan County,VA
24624,51027,Buchanan County,VA
24620,51027,Buchanan County,VA
24627,51027,Buchanan County,VA
24622,51027,Buchanan County,VA
24649,51027,Buchanan County,VA
24217,51027,Buchanan County,VA
24614,51027,Buchanan County,VA
24256,51027,Buchanan County,VA
24639,51027,Buchanan County,VA
24658,51027,Buchanan County,VA
24590,51029,Buckingham County,VA
24522,51029,Buckingham County,VA
23123,51029,Buckingham County,VA
24599,51029,Buckingham County,VA
24562,51029,Buckingham County,VA
